pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",0.00034221899862441757,0.9962911300180153,0.02796307108685035,0.7055532396958133,187,65.1 (2.9),0.58
"('slowdelta_bandpower_total', 'vol-thalamus')",0.16345544068711185,0.02539849434697371,0.09960644409543958,0.17734702594905763,187,65.1 (2.9),0.58
"('so_rate_f', 'vol-ctx--anterior')",0.08019208448228483,0.27526609436887667,0.09648145716975962,0.1914012158451895,187,65.1 (2.9),0.58
"('so_rate_f', 'vol-thalamus')",0.13122460533096209,0.07342392582477256,0.06762873405905295,0.36036840886060306,187,65.1 (2.9),0.58
"('ss_dens_f', 'vol-thalamus')",0.09750329649343531,0.1843225951292209,0.055789121427519524,0.4506939336628937,187,65.1 (2.9),0.58
"('ss_dens_f', 'vol-hippocampus')",0.003925094710470013,0.9574807936474421,-0.027476854922431817,0.7104418863146195,187,65.1 (2.9),0.58
"('fs_dens_c', 'vol-thalamus')",0.2848799593894913,7.75806443620469e-05,0.2774480355033424,0.00013159105036634385,187,65.1 (2.9),0.58
"('fs_dens_c', 'vol-hippocampus')",0.11369514865268254,0.12129492968878358,0.10341332276564,0.16127440015746033,187,65.1 (2.9),0.58
"('perc_r', 'vol-ctx--isthmuscingulate')",0.006315615765762547,0.9316361279724684,0.0004200255748551555,0.9954726326515555,187,65.1 (2.9),0.58
"('perc_r', 'vol-amygdala')",0.05104964874187815,0.4877667292090408,0.044086116507861026,0.5512677020925962,187,65.1 (2.9),0.58
"('perc_r', 'vol-brain-stem')",0.13647553588750067,0.0625347297018159,0.15587256369981423,0.03411635886632159,187,65.1 (2.9),0.58
"('alpha_bandpower_mean_o_w', 'vol-thalamus')",0.027154465280361462,0.7121948541845198,-0.004823088222694803,0.9480491285087884,187,65.1 (2.9),0.58
"('alpha_bandpower_mean_o_w', 'vol-total_ventricle')",-0.08987311631870161,0.22124178283606713,-0.06893826917585534,0.3511213985445344,187,65.1 (2.9),0.58
"('slowdelta_bandpower_total', 'mmse')",-0.17420969039217793,0.22146632811058325,-0.13945668997889768,0.33923551659690154,51,65.3 (2.9),0.51
"('so_rate_f', 'mmse')",-0.10517784530639168,0.46261973723350813,-0.05967108067013332,0.6838039306835317,51,65.3 (2.9),0.51
"('vol-ctx--anterior', 'mmse')",-0.08446860768881534,0.5556421928667167,-0.10578131609116817,0.46944206495839946,51,65.3 (2.9),0.51
"('vol-thalamus', 'mmse')",-0.010244744800716382,0.9431190731679253,0.0005949404404722028,0.996762934960606,51,65.3 (2.9),0.51
"('ss_dens_f', 'mmse')",0.2687506671844557,0.05652971218272751,0.2955404372891211,0.039238157421517435,51,65.3 (2.9),0.51
"('fs_dens_c', 'mmse')",0.11330164554542735,0.4285763535558808,0.11529886937531907,0.4301745537449726,51,65.3 (2.9),0.51
"('vol-hippocampus', 'mmse')",-0.004518725207998092,0.9748944963407583,0.028235994598306804,0.8472817687321161,51,65.3 (2.9),0.51
"('perc_r', 'mmse')",0.21178444635769605,0.13571755834735116,0.1849010708212574,0.20341052590368275,51,65.3 (2.9),0.51
"('vol-ctx--isthmuscingulate', 'mmse')",0.18260294390906429,0.19965620746549986,0.1650379113966727,0.2571160905147368,51,65.3 (2.9),0.51
"('vol-amygdala', 'mmse')",0.1747570406032911,0.2199955529287482,0.1881408809980849,0.19546370262894375,51,65.3 (2.9),0.51
"('vol-brain-stem', 'mmse')",0.0876255044505596,0.5409112540629054,0.09708606356053498,0.5069279582092996,51,65.3 (2.9),0.51
"('alpha_bandpower_mean_o_w', 'mmse')",0.1602191736781951,0.2613942587378997,0.17190001049560139,0.23758177507303269,51,65.3 (2.9),0.51
"('vol-total_ventricle', 'mmse')",-0.20515489987526392,0.14868561827171178,-0.2064091030695725,0.1547537566967534,51,65.3 (2.9),0.51
