pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",dx_dementia,0.31088957566946906,0.06495933641481794,0.26798152990025603,0.12544313362192644,36,73.3 (11.2),0.58
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",dx_mci,-0.020298746873236656,0.866566292295285,-0.17691946788631302,0.14587569064559983,71,68.0 (9.7),0.48
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",dx_elix_depre_no_mci_dementia,0.07931912968993421,0.20062581960715462,-0.03867228813111738,0.5347314891589539,262,57.8 (11.9),0.66
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",dx_cci_canc_no_mci_dementia,0.08549030990281017,0.33924805197971497,-0.04295650429406501,0.6343144441355139,127,64.5 (10.4),0.46
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",dx_cci_diab_no_mci_dementia,0.06449050949227735,0.4840568091891232,-0.03899439620212714,0.6750422713527887,120,60.6 (10.4),0.53
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",dx_cci_chf_no_mci_dementia,0.1063978655653191,0.3538514739879227,0.032375061710672934,0.7812930214692497,78,65.4 (11.1),0.5
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",dx_cci_pvd_no_mci_dementia,0.01949103419670059,0.8577902765615286,-0.12607813939170862,0.2502397797367652,87,64.7 (10.9),0.47
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",dx_cci_cevd_no_mci_dementia,0.16812881269785201,0.05039978861482464,0.011205028836671408,0.8977561223710471,136,63.1 (10.8),0.52
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",dx_strata_cci<2,0.12502604152154026,0.05306647580563532,0.02853307055891638,0.6614164032291332,240,56.9 (11.9),0.55
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",dx_strata_cci2-4,0.11205602731485653,0.11325011408020938,-0.0677083414941524,0.3420016996818578,201,61.6 (12.6),0.59
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",dx_strata_cci>=5,0.1701781311101094,0.12637754480948304,0.08837601412287774,0.4356584520478841,82,65.4 (10.5),0.48
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",dx_no_disease,0.11228165857670037,0.20165615333044787,-0.014686729923116409,0.8687909179220169,131,56.6 (12.9),0.49
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",dx_no_disease_cci<2,0.108129674178841,0.32169079674150336,0.05702927604838108,0.6063644835672266,86,55.1 (12.1),0.5
"('slowdelta_bandpower_total', 'vol-ctx--anterior')",zzz_blank,,,,,,,
"('slowdelta_bandpower_total', 'vol-thalamus')",dx_dementia,0.34334818624179864,0.040346909680356854,0.06310596528328458,0.7229207549772085,36,73.3 (11.2),0.58
"('slowdelta_bandpower_total', 'vol-thalamus')",dx_mci,0.22544465289299948,0.058714354709065775,0.0037439950943116917,0.9756428570143424,71,68.0 (9.7),0.48
"('slowdelta_bandpower_total', 'vol-thalamus')",dx_elix_depre_no_mci_dementia,0.2973786751173515,9.49517746883532e-07,0.04559847591579314,0.464112715241798,262,57.8 (11.9),0.66
"('slowdelta_bandpower_total', 'vol-thalamus')",dx_cci_canc_no_mci_dementia,0.3648070503950285,2.478118402360547e-05,0.11411363698964563,0.20509966844706423,127,64.5 (10.4),0.46
"('slowdelta_bandpower_total', 'vol-thalamus')",dx_cci_diab_no_mci_dementia,0.2772436565440902,0.002172393670849479,0.08359646246139826,0.3681203195056947,120,60.6 (10.4),0.53
"('slowdelta_bandpower_total', 'vol-thalamus')",dx_cci_chf_no_mci_dementia,0.22499718338892524,0.0476459984462477,0.043687949258867806,0.7078615884000555,78,65.4 (11.1),0.5
"('slowdelta_bandpower_total', 'vol-thalamus')",dx_cci_pvd_no_mci_dementia,0.2451751254745515,0.022089926956241946,-0.0708877845699872,0.5191293285954708,87,64.7 (10.9),0.47
"('slowdelta_bandpower_total', 'vol-thalamus')",dx_cci_cevd_no_mci_dementia,0.2820009009076986,0.0008807569055266425,-0.07862742238113388,0.36649926903381236,136,63.1 (10.8),0.52
"('slowdelta_bandpower_total', 'vol-thalamus')",dx_strata_cci<2,0.23739015922633014,0.00020593006133474948,-0.018662512193750768,0.774556183955767,240,56.9 (11.9),0.55
"('slowdelta_bandpower_total', 'vol-thalamus')",dx_strata_cci2-4,0.36194505511590447,1.2949894711672898e-07,-0.0027770754949411097,0.9689471915018462,201,61.6 (12.6),0.59
"('slowdelta_bandpower_total', 'vol-thalamus')",dx_strata_cci>=5,0.3435210688826167,0.0015792887586257359,0.18606834384006996,0.09842889813722652,82,65.4 (10.5),0.48
"('slowdelta_bandpower_total', 'vol-thalamus')",dx_no_disease,0.18844309140062862,0.03112203967094609,-0.13700416389883519,0.12156636051898793,131,56.6 (12.9),0.49
"('slowdelta_bandpower_total', 'vol-thalamus')",dx_no_disease_cci<2,0.17155622916697316,0.11424424795122247,-0.08180992065195322,0.4594172411157045,86,55.1 (12.1),0.5
"('slowdelta_bandpower_total', 'vol-thalamus')",zzz_blank,,,,,,,
"('so_rate_f', 'vol-ctx--anterior')",dx_dementia,0.13449099911853896,0.4341968004452487,0.12818294690847465,0.4700115972047274,36,73.3 (11.2),0.58
"('so_rate_f', 'vol-ctx--anterior')",dx_mci,-0.08419035358270349,0.4851462620358725,-0.1942405967890873,0.10975839896940986,71,68.0 (9.7),0.48
"('so_rate_f', 'vol-ctx--anterior')",dx_elix_depre_no_mci_dementia,0.07689288960931348,0.21478815484090102,-0.0014195328725594833,0.9818265573942131,262,57.8 (11.9),0.66
"('so_rate_f', 'vol-ctx--anterior')",dx_cci_canc_no_mci_dementia,0.13580839090359845,0.12790564321704173,0.06137924739539347,0.49651193290740137,127,64.5 (10.4),0.46
"('so_rate_f', 'vol-ctx--anterior')",dx_cci_diab_no_mci_dementia,0.06001489944733868,0.514958505948348,0.008217756930603854,0.9296232169257412,120,60.6 (10.4),0.53
"('so_rate_f', 'vol-ctx--anterior')",dx_cci_chf_no_mci_dementia,0.07332447307127077,0.5234811288404665,0.02237714104405718,0.8478438100084451,78,65.4 (11.1),0.5
"('so_rate_f', 'vol-ctx--anterior')",dx_cci_pvd_no_mci_dementia,-0.041928081667966556,0.6997986418186571,-0.1536011659550836,0.16046506476906644,87,64.7 (10.9),0.47
"('so_rate_f', 'vol-ctx--anterior')",dx_cci_cevd_no_mci_dementia,0.12843918154030007,0.13617184926876147,-0.015056292804284279,0.8629138764669975,136,63.1 (10.8),0.52
"('so_rate_f', 'vol-ctx--anterior')",dx_strata_cci<2,0.07837124969139705,0.22641520904525847,0.005892895045432908,0.9279428882170939,240,56.9 (11.9),0.55
"('so_rate_f', 'vol-ctx--anterior')",dx_strata_cci2-4,0.14163478172799607,0.044897007224366674,0.028297764156016883,0.6915490120293548,201,61.6 (12.6),0.59
"('so_rate_f', 'vol-ctx--anterior')",dx_strata_cci>=5,0.09790618016133953,0.3815345118320378,0.03564993450661353,0.7535635007317452,82,65.4 (10.5),0.48
"('so_rate_f', 'vol-ctx--anterior')",dx_no_disease,0.13831469479885233,0.11514245926073942,0.0207672646464082,0.8152954097114135,131,56.6 (12.9),0.49
"('so_rate_f', 'vol-ctx--anterior')",dx_no_disease_cci<2,0.12764959422940528,0.24149828185138916,0.0765991483681255,0.488597040613146,86,55.1 (12.1),0.5
"('so_rate_f', 'vol-ctx--anterior')",zzz_blank,,,,,,,
"('so_rate_f', 'vol-thalamus')",dx_dementia,0.15810025331693583,0.35708484522436945,-0.07841857254418086,0.6593349239106667,36,73.3 (11.2),0.58
"('so_rate_f', 'vol-thalamus')",dx_mci,0.19284761285905833,0.10711773427184959,0.05499444078630716,0.6535669197527693,71,68.0 (9.7),0.48
